stift_kode,Stift,provsti_kode,Provsti,sognekode,Sogn
1,Københavns Stift,104,Nørrebro Provsti,7050,Anna Sogn
1,Københavns Stift,104,Nørrebro Provsti,7011,Bethlehem Sogn
1,Københavns Stift,104,Nørrebro Provsti,9161,Blågårdens Sogn
1,Københavns Stift,104,Nørrebro Provsti,7053,Kingo-Samuel Sogn
1,Københavns Stift,104,Nørrebro Provsti,7051,Sankt Stefans Sogn
1,Københavns Stift,104,Nørrebro Provsti,9169,Simeon-Sankt Johannes Sogn
1,Københavns Stift,106,Frederiksberg Provsti,7105,Flintholm Sogn
1,Københavns Stift,106,Frederiksberg Provsti,9181,Frederiksberg Sogn
1,Københavns Stift,106,Frederiksberg Provsti,7108,Godthaabs Sogn
1,Københavns Stift,106,Frederiksberg Provsti,7104,Lindevang Sogn
1,Københavns Stift,106,Frederiksberg Provsti,7107,Mariendals Sogn
1,Københavns Stift,106,Frederiksberg Provsti,7102,Sankt Lukas Sogn
1,Københavns Stift,106,Frederiksberg Provsti,7109,Sankt Markus Sogn
1,Københavns Stift,106,Frederiksberg Provsti,7106,Sankt Thomas Sogn
1,Københavns Stift,106,Frederiksberg Provsti,7103,Solbjerg Sogn
1,Københavns Stift,107,Bornholms Provsti,7560,Allinge-Sandvig Sogn
1,Københavns Stift,107,Bornholms Provsti,7570,Bodilsker Sogn
1,Københavns Stift,107,Bornholms Provsti,7568,Christiansø Sogn
1,Københavns Stift,107,Bornholms Provsti,7566,Gudhjem Sogn
1,Københavns Stift,107,Bornholms Provsti,7557,Hasle Sogn
1,Københavns Stift,107,Bornholms Provsti,7563,Ibsker Sogn
1,Københavns Stift,107,Bornholms Provsti,7561,Klemensker Sogn
1,Københavns Stift,107,Bornholms Provsti,7553,Knudsker Sogn
1,Københavns Stift,107,Bornholms Provsti,7571,Nexø Sogn
1,Københavns Stift,107,Bornholms Provsti,7556,Nyker Sogn
1,Københavns Stift,107,Bornholms Provsti,7555,Nylarsker Sogn
1,Københavns Stift,107,Bornholms Provsti,7559,Olsker Sogn
1,Københavns Stift,107,Bornholms Provsti,7573,Pedersker Sogn
1,Københavns Stift,107,Bornholms Provsti,7572,Poulsker Sogn
1,Københavns Stift,107,Bornholms Provsti,7558,Rutsker Sogn
1,Københavns Stift,107,Bornholms Provsti,7562,Rø Sogn
1,Københavns Stift,107,Bornholms Provsti,7552,Rønne Sogn
1,Københavns Stift,107,Bornholms Provsti,7564,Svaneke Sogn
1,Københavns Stift,107,Bornholms Provsti,7554,Vestermarie Sogn
1,Københavns Stift,107,Bornholms Provsti,7565,Østerlarsker Sogn
1,Københavns Stift,107,Bornholms Provsti,7567,Østermarie Sogn
1,Københavns Stift,107,Bornholms Provsti,7569,Aaker Sogn
1,Københavns Stift,110,Bispebjerg-Brønshøj Provsti,7061,Ansgarkirkens Sogn
1,Københavns Stift,110,Bispebjerg-Brønshøj Provsti,9182,Bellahøj-Utterslev Sogn
1,Københavns Stift,110,Bispebjerg-Brønshøj Provsti,7064,Bispebjerg Sogn
1,Københavns Stift,110,Bispebjerg-Brønshøj Provsti,7068,Brønshøj Sogn
1,Københavns Stift,110,Bispebjerg-Brønshøj Provsti,7065,Emdrup Sogn
1,Københavns Stift,110,Bispebjerg-Brønshøj Provsti,7067,Husum Sogn
1,Københavns Stift,110,Bispebjerg-Brønshøj Provsti,7070,Husumvold Sogn
1,Københavns Stift,110,Bispebjerg-Brønshøj Provsti,7062,Kapernaums Sogn
1,Københavns Stift,110,Bispebjerg-Brønshøj Provsti,7063,Tagensbo Sogn
1,Københavns Stift,110,Bispebjerg-Brønshøj Provsti,9133,Tingbjerg Sogn
1,Københavns Stift,111,Valby-Vanløse Provsti,7059,Advents Sogn
